Name,Category_num,Category,Rating,Program Expenses,Efficiency,Accountability,Annual Contributions,CEO Compensation,CEO Comp Percent,Slope_nums,Slope
Wounded Warrior Project,0,Social Services,86.02,72.4,0.22,97,211476891,120441,0.056952322,1755.854659,625.9088524
American Red Cross,0.25,Humanitarian,84.09,89.3,0.27,100,700040441,603564,0.086218447,1159.844591,
Doctors without Borders,0.25,Humanitarian,94.74,89.2,0.09,93,372041946,201968,0.054286352,1842.083627,
Susan G Komen for a Cure,0.5,Health,80.87,78.9,0.13,96,136931396,545188,0.398146821,251.163628,
March of Dimes,0.5,Health,73.24,75.5,0.15,97,165557497,529903,0.320071884,312.4298164,
Southern Poverty Law Center,0,Social Services,88.78,65.5,0.14,97,132044179,350589,0.265508864,376.6352595,
Human Rights Campaign,0,Social Services,86.92,73,0.14,93,16150038,52486,0.324989947,307.7018252,
National Immigration Law Center,0,Social Services,95.5,81.5,0.04,100,12821155,152112,1.186414173,84.2875973,
UNICEF,0.25,Humanitarian,83.94,89.2,0.08,97,507763619,569378,0.112134462,891.7865091,
World Wildlife Foundation,0.75,Environmental,82.32,74,0.21,96,213932952,756312,0.353527586,282.863358,
Green Peace,0.75,Environmental,83.4,82.6,0.11,78,19909984,100421,0.504375091,198.2651437,
Sierra Club,0.75,Environmental,91.23,85.2,0.11,97,71884506,19032,0.026475803,3777.033733,
Alex's Lemonade Stand,0.5,Health,97.4,88.1,0.06,100,18561091,146980,0.791871555,126.2831065,
ASPCA,1,Animal Rights,83.75,74.4,0.21,97,197064307,437390,0.221952928,450.5459818,
PETA,1,Animal Rights,80.8,83.9,0.15,82,43332789,22688,0.052357581,1909.943098,
American Cancer Society,0.5,Health,71.56,58.4,0.39,97,768281267,667779,0.086918558,1150.502287,
